Issue id,Summary,Issue Type,Description,Labels,Parent,Status
JD-E99,MVP Edge Cases and Fallbacks,Epic,"Implementation of various edge cases, fail-safes, and UI fallbacks discovered during MVP 1-3 testing.",MVP,None,Done
JD-306,Ranked Jobs Searchable Constraint,Story,Ensure ranked jobs only become searchable once scored.,Backend,JD-E99,Done
JD-307,Orchestrator Learner Context Injection,Story,Invoke InterviewPrepAgent for QAAgent reuse.,Backend,JD-E99,Done
JD-308,Quality Critic Hallucinated URL Detection,Story,Add httpx verification for URLs found in output.,Backend,JD-E99,Done
JD-310,Company Name Slug Fallback,Story,Implement robust company name slugification.,Backend,JD-E99,Done
JD-313,Recruiter Deduplication Edge Case,Story,Gracefully skip UPSERTs if LinkedIn URL is missing.,Backend,JD-E99,Done
JD-316,Null Job Type Template Fallback,Story,Fallback to technical-specialist template if job type is null.,Backend,JD-E99,Done
JD-314,Consent Fatigue Prevention,Story,Enforce time-bound sessions rather than per-action prompts.,Frontend,JD-E99,Done
JD-311,MVP 1 Onboarding Timeout Fallback,Story,Provide fallback to manual inputs if API takes too long.,Frontend,JD-E99,Done
JD-312,Cover Letter Export Fallback,Story,Add clipboard copy capability as fallback for Cover Letter Export.,Frontend,JD-E99,Done
JD-317,TOON Parsing Bug in LLM Client,Story,Ensure generate_structured_response handles partial json parsing.,Backend,JD-E99,Done
JD-E26,Learner Feedback Loops,Epic,"IMPLEMENTATION DETAILS:
Implement data flow wiring between RAG/Interview Prep and downstream agents via the 4-step Feedback Protocol to prevent redundant retrieval.

EFFORT: XL
PROJECT AREA: Architecture
DEPENDENCIES: None
TESTING CRITERIA:
- Verify downstream agents receive learner context
- Verify no redundant API calls

EDGE CASES:
Learner agent fails or returns empty context",Cross-MVP,,
JD-116,Wire RAG Agent feedback to downstream agents,Task,"IMPLEMENTATION DETAILS:
Pass cv_embeddings context from RAG to Cover Letter, Q&A, Ranking, and Interview Prep via Orchestrator.
Must follow Feedback Protocol: Orchestrator invokes Learner first, extracts result.context from AgentResultEnvelope, and injects learner_context into downstream Doer prompt.

EFFORT: M
PROJECT AREA: RAG, Orchestrator
DEPENDENCIES: None
TESTING CRITERIA:
- RAG context successfully injected into downstream agent prompt <context>
- Downstream Doers DO NOT re-fetch data

EDGE CASES:
Context size exceeds token limit",MVP2,JD-E26,
JD-117,Wire Interview Prep research to Presenter,Task,"IMPLEMENTATION DETAILS:
Pass CompanyResearch record to Application Assistant (Presenter).

EFFORT: M
PROJECT AREA: Interview Prep
DEPENDENCIES: None
TESTING CRITERIA:
- Application Assistant can access and utilize CompanyResearch

EDGE CASES:
Database lookup fails for company_name_slug",Post-MVP3,JD-E26,
JD-118,Expose retrieval precision scores to Quality Critic and Observability,Task,"IMPLEMENTATION DETAILS:
Expose RAG Agent retrieval precision scores per query to Quality Critic and Observability.
Store in eval_metrics table and as a Prometheus gauge.
Quality Critic reads precision and alerts if < 0.80.

EFFORT: S
PROJECT AREA: RAG, Quality Critic, Observability
DEPENDENCIES: None
TESTING CRITERIA:
- Alert triggers when precision < 0.80
- Precision logged to Prometheus and eval_metrics

EDGE CASES:
Metric not available in time for critic review",MVP2,JD-E26,
JD-119,Connect Interview Prep question bank to Q&A agent,Task,"IMPLEMENTATION DETAILS:
Route interview questions to Q&A agent for follow-up answers.

EFFORT: M
PROJECT AREA: Interview Prep, Q&A
DEPENDENCIES: None
TESTING CRITERIA:
- Q&A agent successfully answers generated interview questions

EDGE CASES:
Questions too vague to answer",Post-MVP3,JD-E26,
JD-E27,Agent Activation Timeline,Epic,"IMPLEMENTATION DETAILS:
Implement feature-flag-gated agent activation and strictly enforce Scaling Rules across MVPs (MVP isolation and max agent count).

EFFORT: M
PROJECT AREA: Architecture
DEPENDENCIES: None
TESTING CRITERIA:
- Agents activate only when corresponding feature flag is true
- Graceful degradation works
- Max agent count does not exceed 15

EDGE CASES:
Flag toggled during active request",Cross-MVP,,
JD-120,Implement feature-flag-gated agent activation framework,Task,"IMPLEMENTATION DETAILS:
Use FEATURE_* env vars in settings.py to control agent activation.

EFFORT: S
PROJECT AREA: Settings, Orchestrator
DEPENDENCIES: None
TESTING CRITERIA:
- Agents disabled by flag are not loaded or routed to

EDGE CASES:
Missing flag defaults to disabled",MVP2,JD-E27,
JD-121,Configure graceful degradation for missing MVP 3+ agents,Task,"IMPLEMENTATION DETAILS:
Ensure MVP 2 agents gracefully degrade if MVP 3+ agents are unavailable.

EFFORT: M
PROJECT AREA: Orchestrator
DEPENDENCIES: JD-120
TESTING CRITERIA:
- Workflow completes successfully even if advanced agents are disabled

EDGE CASES:
Hard dependency causes crash",MVP2,JD-E27,
JD-145,Enforce Agent Dependency and Scaling Constraints,Task,"IMPLEMENTATION DETAILS:
Enforce explicit Scaling Rules:
1. MVP 1 agents MUST NOT depend on MVP 2+ agents (standalone Doers).
2. Agent count must not exceed 15 (requires documented role justification filling a gap in the 7-role framework).
Implement architectural guards or CI checks.

EFFORT: S
PROJECT AREA: Architecture, CI
DEPENDENCIES: None
TESTING CRITERIA:
- CI fails if MVP 1 agent imports MVP 2+ agent

EDGE CASES:
N/A",Cross-MVP,JD-E27,
