Issue id,Summary,Issue Type,Description,Labels,Parent
JD-E13,E13 — Observability Stack,Epic,"Implement full observability across the platform using OpenTelemetry distributed tracing, Grafana dashboards, Prometheus and Loki for metrics and log aggregation, Sentry for error tracking, and a dedicated observability agent enforcing schema conformance and hallucination alerting.

SCOPE:
- OpenTelemetry: distributed tracing and metrics across all agents and routers
- Grafana dashboards: latency p50/p95, token usage, hallucination rate, retrieval precision, reranker confidence
- Prometheus + Loki: metrics scraping and structured JSON log aggregation from stdout
- Sentry: error tracking and alerting; Microsoft Clarity for frontend session replay
- Observability agent: traces, schema conformance rate >= 99%, hallucination alert if > 1%

MILESTONE: MVP 3 — Full Twelve-Factor Compliance, Observability & Auth","observability,opentelemetry,monitoring,python,mvp3",
JD-13-1,OpenTelemetry Integration,Story,"Instrument all FastAPI routers and agent modules with OpenTelemetry distributed tracing and metrics.

IMPLEMENTATION DETAILS:
- Add opentelemetry-sdk, opentelemetry-instrumentation-fastapi, opentelemetry-exporter-otlp to backend/pyproject.toml
- Create backend/telemetry.py:
  - configure_tracing(): sets up TracerProvider with OTLP exporter pointing to collector endpoint (OTEL_EXPORTER_OTLP_ENDPOINT from settings)
  - configure_metrics(): sets up MeterProvider with OTLP exporter
  - Instruments FastAPI app with FastAPIInstrumentor
  - Custom span attributes: agent source_id, job count, keyword list hash, scrape duration
- Add OTEL_EXPORTER_OTLP_ENDPOINT and OTEL_SERVICE_NAME to .env.example and settings.py
- Call configure_tracing() and configure_metrics() in main.py lifespan startup
- Instrument each agent run() method with tracer.start_as_current_span(f'{source_id}.run')
- Create docs/OBSERVABILITY.md: architecture diagram of trace flow, span attribute catalogue, metric names

EFFORT: L (8 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-2-1, JD-3-2, JD-2-2

TESTING CRITERIA:
- Traces appear in OTLP collector on every POST /api/v1/scrape request
- Each agent run() produces a child span under the scrape parent span
- Custom span attributes (source_id, job count) present on agent spans
- Metrics endpoint exposes request count and latency histograms
- docs/OBSERVABILITY.md created with span attribute catalogue

EDGE CASES:
- OTEL collector unavailable: tracing must fail silently and not crash the application; use BatchSpanProcessor with NoOpExporter fallback
- High cardinality span attributes (e.g. job titles) must not be added as span attributes; use span events instead","observability,opentelemetry,tracing,python,mvp3",JD-E13
JD-13-2,Grafana Dashboards,Story,"Create Grafana dashboard definitions covering key platform health and AI quality metrics.

IMPLEMENTATION DETAILS:
- Create infrastructure/grafana/dashboards/ directory with JSON dashboard definitions:
  - platform-health.json:
    - Request latency p50 and p95 per route (sourced from Prometheus)
    - Error rate per route (4xx and 5xx)
    - Active database connections (from /api/v1/admin/db-status)
    - Circuit breaker states per agent
  - ai-quality.json:
    - Token usage per agent per hour (sourced from OTLP metrics)
    - Hallucination rate (sourced from observability agent alerts)
    - Retrieval precision trend (sourced from Ragas eval results logged to Loki)
    - Reranker confidence p50 (sourced from ranking agent span attributes)
    - ATS keyword match score distribution (cover letter agent)
  - scraper-ops.json:
    - Jobs scraped per source per hour
    - Scrape duration per agent
    - DLQ depth over time
    - Circuit breaker open events
- Add Grafana provisioning config: infrastructure/grafana/provisioning/datasources.yml (Prometheus + Loki)
- Document dashboard import process in docs/OBSERVABILITY.md

EFFORT: L (8 hours)
PROJECT AREA: Infrastructure
DEPENDENCIES: JD-13-1

TESTING CRITERIA:
- All three dashboard JSON files valid and importable via Grafana UI
- platform-health.json panels render with data from local Prometheus instance
- ai-quality.json hallucination rate panel connects to correct Loki log stream
- datasources.yml provisions Prometheus and Loki without manual configuration

EDGE CASES:
- Dashboard JSON must be version-controlled; document Grafana export process to prevent dashboard drift
- Grafana provisioned dashboards are read-only in UI; document how to make edits (edit JSON, re-provision)","observability,grafana,monitoring,infrastructure,mvp3",JD-E13
JD-13-3,Prometheus and Loki Setup,Story,"Configure Prometheus for metrics scraping and Loki for structured JSON log aggregation across the platform.

IMPLEMENTATION DETAILS:
- Add prometheus and loki services to docker-compose.yml for local observability stack
- infrastructure/prometheus/prometheus.yml:
  - scrape_configs: job job-discovery; static_configs target localhost:8000/metrics
  - scrape_interval: 15s
  - metrics_path: /metrics
- Expose /metrics endpoint in FastAPI using prometheus-fastapi-instrumentator:
  - Add prometheus-fastapi-instrumentator to backend/pyproject.toml
  - Instrument app in main.py: Instrumentator().instrument(app).expose(app)
- infrastructure/loki/loki-config.yml: local filesystem storage; retention 7 days
- Configure Promtail (or Loki Docker driver) to ship stdout JSON logs from all containers to Loki
- Log labels: service=job-discovery, level, logger, agent (where applicable)
- Update docs/OBSERVABILITY.md: Prometheus metric names catalogue, Loki label scheme

EFFORT: M (6 hours)
PROJECT AREA: Infrastructure
DEPENDENCIES: JD-13-1, JD-2-3

TESTING CRITERIA:
- GET /metrics returns Prometheus-format metrics including http_request_duration_seconds histogram
- Prometheus scrapes /metrics successfully (target shows UP in Prometheus UI)
- Loki receives structured JSON logs from FastAPI (query {service="job-discovery"} returns results)
- docker-compose up starts prometheus and loki alongside application without errors

EDGE CASES:
- prometheus-fastapi-instrumentator default metrics include high-cardinality route labels; configure label grouping to avoid cardinality explosion
- Loki log retention must be set explicitly; default is unlimited and will exhaust disk in production","observability,prometheus,loki,infrastructure,mvp3",JD-E13
JD-13-4,Sentry Integration and Frontend Session Replay,Story,"Integrate Sentry for backend error tracking and alerting, and Microsoft Clarity for frontend session replay.

IMPLEMENTATION DETAILS:
- Backend Sentry integration:
  - Add sentry-sdk[fastapi] to backend/pyproject.toml
  - Initialize in main.py lifespan: sentry_sdk.init(dsn=settings.SENTRY_DSN, traces_sample_rate=0.1, environment=settings.APP_ENV)
  - Add SENTRY_DSN to .env.example and settings.py (Optional[str], default None; Sentry disabled if not set)
  - Custom Sentry tags on all captured exceptions: agent source_id, request_id, app_env
  - Alert rules in Sentry (documented in docs/OBSERVABILITY.md): error rate > 1% in 5 minutes triggers PagerDuty/email
- Frontend Microsoft Clarity:
  - Add Clarity script to frontend/app/layout.tsx via next/script with strategy='afterInteractive'
  - CLARITY_PROJECT_ID from NEXT_PUBLIC_CLARITY_PROJECT_ID env var
  - Add NEXT_PUBLIC_CLARITY_PROJECT_ID to .env.example
  - Clarity disabled if env var not set (conditional script injection)
- Update docs/OBSERVABILITY.md: Sentry project setup, alert configuration, Clarity dashboard link

EFFORT: M (5 hours)
PROJECT AREA: Backend + Frontend
DEPENDENCIES: JD-2-1, JD-4-1

TESTING CRITERIA:
- Unhandled exception in FastAPI route captured in Sentry with correct tags
- SENTRY_DSN=None disables Sentry without errors
- Clarity script injected in frontend HTML when NEXT_PUBLIC_CLARITY_PROJECT_ID set
- Clarity script absent from HTML when env var not set
- traces_sample_rate=0.1 confirmed (not 1.0; avoid excessive Sentry transaction volume)

EDGE CASES:
- Sentry must not capture sensitive data (DATABASE_URL, API keys); configure before_send hook to scrub sensitive fields from event payloads
- Clarity session replay must comply with GDPR; document data retention settings and user consent requirements in docs/OBSERVABILITY.md","observability,sentry,monitoring,frontend,mvp3",JD-E13
