Issue id,Summary,Issue Type,Description,Labels,Parent,Status
JD-E22,API Gateway & Rate Limiting Infrastructure,Epic,"Implement API Gateway layer with per-endpoint rate limits, configure gateway plugins (rate-limiting, JWT validation, request logging, CORS, request transformation), and enforce rate limits as defined in proposal v1.5.0 Rate Limiting Strategy section.

SCOPE: MVP 2
PROJECT AREA: Backend / Infrastructure
FILES: backend/middleware/rate_limit.py, infrastructure/AGENT.md
STORIES: 102.1 - 104.1","backend,infrastructure,api-gateway,rate-limiting",,
JD-102,Implement Per-Endpoint Rate Limiting,Task,"Implement per-endpoint rate limits enforced at the API Gateway level or via FastAPI middleware as specified in proposal v1.5.0 Rate Limiting Strategy.

IMPLEMENTATION DETAILS:
- /api/v1/jobs GET: 300 req/min
- /api/v1/cover-letter/* POST: 20 req/min
- /api/v1/question-answer/* POST: 30 req/min
- /api/v1/interview-prep/* POST: 10 req/min
- /api/v1/scrape POST: 1 concurrent globally (already enforced by asyncio.Lock / Redis lock)
- General API usage ANY: 600 req/min
- Use Redis-backed sliding window rate limiter for distributed enforcement across workers
- Return 429 Too Many Requests with Retry-After header when limit exceeded
- Rate limit state stored in Redis with per-IP or per-user key strategy
- Log rate limit violations via get_logger('rate_limiter') as structured JSON

EFFORT: M (5 hours)
PROJECT AREA: Backend / Infrastructure
DEPENDENCIES: JD-41 (Redis connection required for distributed rate limiting)

TESTING CRITERIA:
- 429 returned when rate limit exceeded for each endpoint category
- Retry-After header present on 429 responses
- Rate limits enforced correctly per endpoint (not globally applied to wrong endpoint)
- Redis-backed state persists across worker processes

EDGE CASES:
- Rate limit bypass for health check endpoint (/health should never be rate limited)
- Rate limit keys must not use high-cardinality identifiers in MVP 2 single-user mode — use IP-based keying with SINGLE_USER_ID fallback","backend,rate-limiting,redis,api",JD-E22,
JD-103,Configure API Gateway Plugins,Task,"Configure API Gateway concern layer with the five specified plugins as documented in infrastructure/AGENT.md.

IMPLEMENTATION DETAILS:
- rate-limiting: per-endpoint limits as defined in JD-102
- jwt: JWT validation delegated to Supabase Auth middleware (JD-67) — gateway forwards validated claims
- file-log: request/response logging for audit trail — log request method, path, status code, latency, user_id (from JWT sub claim)
- cors: configure CORS at gateway level — allowed origins, methods, headers consistent with FastAPI CORS middleware in main.py
- request-transformer: strip sensitive headers, inject X-Request-ID for tracing correlation with OpenTelemetry trace context

EFFORT: M (4 hours)
PROJECT AREA: Infrastructure
DEPENDENCIES: JD-102, JD-67 (JWT auth)

TESTING CRITERIA:
- All five plugin concerns addressed (rate-limiting, jwt, file-log, cors, request-transformer)
- X-Request-ID header injected on every request and propagated to FastAPI
- File log entries contain method, path, status, latency, user_id
- CORS configuration matches existing FastAPI middleware settings

EDGE CASES:
- Gateway and FastAPI CORS must not conflict — remove FastAPI-level CORS if gateway handles it, or keep both in sync
- X-Request-ID must be idempotent — if client sends one, gateway preserves it; otherwise generates a new UUID","infrastructure,api-gateway,plugins",JD-E22,
JD-104,Implement Proxy Abstraction Layer,Task,"Build the proxy abstraction layer for outbound scraping requests with residential proxy support as specified in docs/ANTI-BOT.md and proposal v1.5.0.

IMPLEMENTATION DETAILS:
- Create backend/agents/proxy.py: ProxyManager class with rotate_proxy() method returning next proxy URL from configured pool
- Support proxy types: datacenter (default), residential (opt-in via RESIDENTIAL_PROXY_URL env var)
- Proxy pool configuration via environment variables: PROXY_POOL_URLS (comma-separated list), RESIDENTIAL_PROXY_URL (single residential endpoint)
- Integrate with Playwright browser context: pass proxy server option to browser.new_context(proxy={'server': proxy_url})
- Rotation strategy: round-robin across datacenter proxies; residential proxy used only when datacenter proxies trigger anti-bot detection (CAPTCHA frequency > threshold)
- Add PROXY_POOL_URLS and RESIDENTIAL_PROXY_URL to backend/settings.py as Optional[str] fields (default None — no proxy in MVP 1)
- Add proxy configuration section to docs/ANTI-BOT.md
- Log proxy rotation events via get_logger('proxy'): {event: 'proxy_rotated', proxy_type, reason}

EFFORT: M (5 hours)
PROJECT AREA: Backend / Agents
DEPENDENCIES: JD-83 (ANTI-BOT.md must exist), JD-21 (LinkedIn agent), JD-22 (JobServe agent)

TESTING CRITERIA:
- ProxyManager rotates through configured proxy pool correctly
- Playwright browser context created with proxy option when proxy configured
- No proxy used when PROXY_POOL_URLS is unset (MVP 1 compatibility)
- Residential proxy activated only on anti-bot trigger (not by default)

EDGE CASES:
- All proxies in pool exhausted or failing: log warning and fall back to direct connection
- Residential proxy URL format must support authentication (user:pass@host:port)
- Proxy abstraction must not break existing scraper tests — proxy is opt-in only","backend,proxy,agents,scraping",JD-E22,
JD-E23,Serverless AI Ranking & Deployment Enhancements,Epic,"Implement serverless AI ranking support for burst scaling and cost efficiency, update deployment topology documentation, and add release tagging and rollback strategies as specified in proposal v1.5.0.

SCOPE: MVP 2
PROJECT AREA: Backend / Infrastructure
FILES: backend/agents/ranking/ranking_agent.py, backend/agents/ranking/AGENT.md, infrastructure/AGENT.md
STORIES: 105.1 - 107.1","backend,infrastructure,serverless,ranking",,
JD-105,Serverless AI Ranking Support,Task,"Configure the AI ranking pipeline for serverless/burst execution to enable cost-efficient scaling of expensive AI workloads.

IMPLEMENTATION DETAILS:
- Decouple ranking agent execution from the main FastAPI process — ranking runs as a Temporal activity on dedicated worker(s)
- Configure Temporal worker for ranking activities with independent scaling: program:ranking-worker in supervisord.conf (priority=10, autorestart=true)
- Document serverless deployment option: Azure Container Apps scale-to-zero for ranking worker container (min_replicas=0, max_replicas=10, scale rule based on Temporal task queue depth)
- Document AWS Lambda alternative: ranking activity packaged as Lambda function with 15-minute timeout for long-running scoring pipelines
- Benefits documented in backend/agents/ranking/AGENT.md: burst scaling for batch ranking, reduced idle compute cost, isolation of expensive AI workloads from API request path
- Ranking worker process scales independently of uvicorn worker count (Twelve-Factor Factor VIII compliance)
- Add ranking-specific container definition to infrastructure/terraform/azure/ and infrastructure/terraform/aws/ with independent scaling rules

EFFORT: L (8 hours)
PROJECT AREA: Backend / Infrastructure
DEPENDENCIES: JD-44 (ranking agent), JD-50 (Temporal orchestrator), JD-53 (Azure Terraform), JD-54 (AWS Terraform)

TESTING CRITERIA:
- Ranking activities execute on dedicated worker process (not in FastAPI worker)
- Worker scales independently — verify via container instance count during ranking batch
- Scale-to-zero works: no ranking worker running when task queue is empty
- Ranking latency not affected by API request load (isolation confirmed)

EDGE CASES:
- Cold start latency on scale-from-zero: document expected cold start time (~10-30s for container startup) in infrastructure/AGENT.md
- Lambda 15-minute timeout: document which ranking pipeline steps may exceed this and fallback strategy","backend,serverless,ranking,infrastructure",JD-E23,
JD-106,Release Tagging & Rollback Strategy,Task,"Implement Git SHA-based release tagging and document the rollback deployment strategy as specified in infrastructure/AGENT.md proposal v1.5.0.

IMPLEMENTATION DETAILS:
- Tag strategy: every production deployment tagged with git SHA — image tag = {registry}/{image}:{git-sha}
- Release tagging in CI: after successful terraform apply, create git tag release/{git-sha-short} via GitHub Actions
- Document rollback strategy in infrastructure/AGENT.md:
  - Rollback = re-deploy previous known-good image by SHA tag
  - Terraform: terraform apply with previous image_tag variable value
  - Verify rollback: /health endpoint returns previous APP_VERSION
  - Database rollback: alembic downgrade -1 if migration accompanied the failed release
  - Maximum rollback window: 3 releases (beyond that requires full DR restore)
- Add rollback run book to infrastructure/AGENT.md with step-by-step commands

EFFORT: S (2 hours)
PROJECT AREA: Infrastructure
DEPENDENCIES: JD-56 (Docker image signing — images must be SHA-tagged before rollback strategy applies)

TESTING CRITERIA:
- Git tag created on successful deployment
- Rollback procedure documented with exact commands
- Previous image deployable via Terraform variable change
- /health confirms rollback to correct version

EDGE CASES:
- Database migration rollback: alembic downgrade may not be possible for destructive migrations — document which migration types are non-reversible","infrastructure,cicd,rollback,deployment",JD-E23,
JD-107,Update Deployment Topology Documentation,Task,"Update infrastructure/AGENT.md with production services that scale independently and the API Gateway concern table as specified in proposal v1.5.0.

IMPLEMENTATION DETAILS:
- Document production services that scale independently:
  - API containers (FastAPI uvicorn workers)
  - Temporal workers (workflow orchestration)
  - Scraper workers (Playwright agents)
  - Ranking workers (AI scoring pipeline — serverless)
  - Observability services (Prometheus, Loki, Grafana)
- Document API Gateway concern table:
  | Concern | Plugin/Implementation |
  | Rate limiting | per-endpoint limits (JD-102) |
  | JWT validation | Supabase Auth (JD-67) |
  | Request logging | file-log for audit trail |
  | CORS | gateway-level CORS config |
  | Request transformation | X-Request-ID injection, header stripping |
- Update deployment model table to distinguish MVP 1 (local dev) from MVP 2 (production with independent scaling)

EFFORT: S (2 hours)
PROJECT AREA: Infrastructure / Documentation
DEPENDENCIES: None

TESTING CRITERIA:
- All five production service types documented with scaling strategy
- API Gateway concern table present with all five plugins
- Deployment model table updated for MVP 1 vs MVP 2 distinction

EDGE CASES:
- Ensure scaling documentation references specific Terraform resources (azurerm_container_app min/max_replicas, ECS desired_count)","infrastructure,documentation,deployment",JD-E23,
JD-E11,Terraform & Multi-Cloud Deployment,Epic,"Provision Azure Container Apps (primary) and AWS ECS Fargate (multi-cloud portability) infrastructure via Terraform. Add CI validate/plan/apply pipeline. Configure Docker image signing with cosign. All IaC governed by infrastructure/AGENT.md. Helm chart scaffolded in infrastructure/helm/.

SCOPE: MVP 2
PROJECT AREA: Infrastructure / Cloud
FILES: infrastructure/terraform/azure/, infrastructure/terraform/aws/, infrastructure/helm/, infrastructure/AGENT.md, .github/workflows/ci.yml
STORIES: 11.1 - 11.5","infrastructure,terraform,azure,aws,cicd",,
JD-53,Azure Container Apps Terraform,Task,"Create infrastructure/terraform/azure/ with main.tf, variables.tf, and outputs.tf for Azure Container Apps deployment as specified in infrastructure/AGENT.md.

IMPLEMENTATION DETAILS:
- Provider: azurerm version ~> 4.74.0 (pin exact minor version in required_providers)
- Resources: azurerm_resource_group, azurerm_container_app_environment, azurerm_container_app, azurerm_container_registry (ACR), azurerm_key_vault, azurerm_user_assigned_identity
- Container App: image from ACR (acr_login_server/image_name:image_tag), port 80, min_replicas=1, max_replicas=5, cpu=0.5, memory=1.0Gi
- Environment variables: sourced from Azure Key Vault secret references via managed identity — no plaintext secrets in Terraform state or .tfvars files
- Ingress: external=true, allow_insecure_connections=false (HTTPS redirect enforced), transport=http
- Managed identity: azurerm_user_assigned_identity assigned to Container App; Key Vault access policy grants get/list on secrets
- outputs.tf: app_url, resource_group_name, acr_login_server, container_app_name
- variables.tf: environment (dev/staging/prod), location (default=uksouth), acr_name, app_name, image_tag, key_vault_name

EFFORT: L (8 hours)
PROJECT AREA: Infrastructure
DEPENDENCIES: JD-2 (Docker image must exist to reference in Container App)

TESTING CRITERIA:
- terraform init, validate, plan all succeed with no errors or warnings
- terraform apply creates all resources in correct dependency order
- App accessible at outputs.app_url over HTTPS
- Container App restarts automatically on failure (replica recovery confirmed via az containerapp revision list)
- Key Vault secret references resolve correctly — no plaintext env vars in Container App config

EDGE CASES:
- ACR pull credentials: configure registry block in azurerm_container_app with managed identity (not admin credentials)
- Key Vault soft-delete enabled by default in azurerm — purge_protection_enabled=false for dev environments to allow recreation
- azurerm provider ~> 4.74.0 required for Key Vault reference syntax in Container App env block","infrastructure,terraform,azure",JD-E11,
