Issue id,Summary,Issue Type,Description,Labels,Parent,Status
JD-E24,Frontend Component Refinements,Epic,"Refine frontend components with exact state, fallback, and error handling logic as per proposal v1.5.0.

SCOPE: MVP 2
PROJECT AREA: Frontend
STORIES: 109 - 111","mvp2,frontend,react",,
JD-109,Refine CoverLetterViewer error handling,Task,"Update frontend/components/CoverLetterViewer.tsx to implement exact export fallback handling.

IMPLEMENTATION DETAILS:
- On 422 response during export: show toast 'Cover letter is no longer available. Please regenerate it.' and do NOT offer a retry.
- On 422, call queryClient.invalidateQueries(['cover-letter', job_id]).
- After a 422, disable or hide Download PDF/Markdown buttons via a `coverLetterExpired` local state flag.
- Recovery path: when data is absent/expired, render a 'Regenerate Cover Letter' link navigating to `/jobs/{job_id}`.
- On generic 500 network errors: show toast 'Download failed. Please try again.' and restore button state.

EFFORT: S (1 hour)
PROJECT AREA: Frontend
DEPENDENCIES: JD-24g

TESTING CRITERIA:
- 422 errors trigger correct toast, query invalidation, hidden buttons, and recovery link.
- 500 errors trigger correct toast and restore button.","frontend,react,error-handling",JD-E24,
JD-110,Refine Application tracking logic,Task,"Update frontend/app/jobs/[id]/page.tsx logic for handling existing applications.

IMPLEMENTATION DETAILS:
- On mount, query GET /api/v1/applications?job_id={job_id}. If matching, set existingApplicationId and show 'View application' (navigating to /applications/{existingApplicationId}).
- If no application exists, show 'Log application'.
- Update POST /api/v1/applications click stream to handle 409 conflict.
- On 409, set existingApplicationId state and swap to 'View application'.

EFFORT: S (1 hour)
PROJECT AREA: Frontend
DEPENDENCIES: JD-33b

TESTING CRITERIA:
- Component checks for existing application on mount.
- 409 conflict from POST correctly updates UI state.
- Button dynamically swaps label and action based on state.","frontend,react,applications",JD-E24,
JD-111,Refine Job Detail Interview Prep states,Task,"Update frontend/app/jobs/[id]/page.tsx to implement exact CompanyResearch states for the Interview Prep feature.

IMPLEMENTATION DETAILS:
- Check CompanyResearch using company_name_slug (matches Domain Model).
- If company_name_slug is absent: skip query and render a static 'Company intelligence is not available for this listing...' section.
- Scraper contract: ensure agents normalise company name to company_name_slug; if unable, set to null.
- If structured research data exists, render normally as a collapsible section.

EFFORT: S (1 hour)
PROJECT AREA: Frontend
DEPENDENCIES: JD-93

TESTING CRITERIA:
- Missing company_name_slug skips query and renders static message.
- Valid research data renders as an interactive collapsible section.","frontend,react,interview-prep",JD-E24,
JD-108,Refine OnboardingBanner states,Task,"Update frontend/components/OnboardingBanner.tsx to implement the exact 5 states and query key contracts as specified in proposal v1.5.0.

IMPLEMENTATION DETAILS:
- Use query key ['profile'] for profile fetch and ['cv-status'] for CV status fetch.
- Implement exactly 5 states:
  1. Profile missing (""Complete your profile"")
  2. CV not uploaded (""Upload your CV"")
  3. Embedding pending (""CV uploaded — embedding available from MVP2"")
  4. Embedding processing (""Processing your CV — this takes about 30 seconds"")
  5. Ready (Banner hidden)

EFFORT: S (1 hour)
PROJECT AREA: Frontend
DEPENDENCIES: JD-24c

TESTING CRITERIA:
- Component strictly adheres to the 5 defined states.
- Query invalidation correctly triggers banner state changes.","frontend,react,onboarding",JD-E4,
JD-112,Refine Profile page logic,Task,"Update frontend/app/profile/page.tsx to pass appropriate handlers based on GET response.

IMPLEMENTATION DETAILS:
- On mount, call GET /api/v1/profile.
- If 404, pass a POST handler to ProfileForm.tsx.
- If 200, pass a PATCH handler to ProfileForm.tsx.
- On successful save, transition to edit mode and hide banner.

EFFORT: S (1 hour)
PROJECT AREA: Frontend
DEPENDENCIES: JD-28b

TESTING CRITERIA:
- Correct handler is passed depending on initial GET response.
- Form operates agnostically of the verb in use.","frontend,react,profile",JD-E4,
JD-E4,Next.js Frontend Dashboard,Epic,"Scaffold the Next.js 16 frontend with standalone server config, full app router page structure, all MVP 1 components, and TanStack Query data fetching connected to the FastAPI backend.

SCOPE: MVP 1
PROJECT AREA: Frontend
STORIES: 4.1 - 4.11","frontend,nextjs,react",,
JD-24,Next.js 16 scaffold,Task,"Scaffold frontend/ with Next.js 16, React 19, TypeScript, Tailwind CSS 4, MUI 7, TanStack Query v5, Zustand, and Zod.

IMPLEMENTATION DETAILS:
- npx create-next-app@latest frontend --typescript --tailwind --app --no-src-dir
- Install: @mui/material @emotion/react @emotion/styled @tanstack/react-query zustand zod
- Set output: 'standalone' and reactStrictMode: true in next.config.ts — do NOT use output: 'export'
- Create .env.local.example with NEXT_PUBLIC_API_URL=/api/v1
- Configure TanStack Query QueryClientProvider in app/layout.tsx with default staleTime: 30000
- Configure MUI ThemeProvider with dark/light mode toggle in app/layout.tsx
- Create lib/store.ts with Zustand stub for filter state: { sources: string[]; keyword: string }
- Create types/job.ts mirroring backend Job model with all fields including embedding_status and saved
- Verify npm run build produces .next/standalone/server.js

EFFORT: M (4 hours)
PROJECT AREA: Frontend
DEPENDENCIES: JD-1

TESTING CRITERIA:
- npm run dev starts on port 3000 without errors
- npm run build produces .next/standalone directory (not /out)
- No TypeScript errors on clean build
- MUI and Tailwind styles both apply without conflict

EDGE CASES:
- output: 'standalone' is required — output: 'export' disables dynamic routes and is incompatible with this architecture
- MUI ThemeProvider must wrap the entire layout; use next/font for performance","frontend,nextjs,scaffold",JD-E4,
JD-24b,App router page structure,Task,"Create all MVP 1 app/ pages and route layout following the proposal file tree.

IMPLEMENTATION DETAILS:
- app/layout.tsx: root layout with QueryClientProvider, ThemeProvider, nav links to / | /saved | /applications | /recruiters; render OnboardingBanner above page content
- app/page.tsx: dashboard — renders FilterBar + list of JobCard components; fetches GET /api/v1/jobs with TanStack Query
- app/onboarding/page.tsx: renders ProfileForm then CVUploadPanel in sequence
- app/profile/page.tsx: fetches GET /api/v1/profile; if 404 passes POST handler; if 200 passes PATCH /api/v1/profile handler; renders ProfileForm pre-populated + CVUploadPanel
- app/saved/page.tsx: renders SavedJobsList component; fetches GET /api/v1/jobs/saved
- app/jobs/[id]/page.tsx: fetches GET /api/v1/jobs/{id}; renders job detail, Save/Unsave toggle, Generate Cover Letter button (disabled in MVP 1), Ask Question button (scrolls to panel), Generate Interview Prep button (disabled in MVP 1), Log Application button
- app/applications/page.tsx: fetches GET /api/v1/applications; renders ApplicationBoard
- app/applications/[id]/page.tsx: application detail with status transitions and notes
- app/recruiters/page.tsx: fetches GET /api/v1/recruiters; renders RecruiterCard per recruiter
- app/admin/page.tsx: admin panel hidden behind feature_admin_panel flag
- app/cover-letter/[id]/page.tsx: Cover Letter viewer — renders CoverLetterViewer.tsx
- app/interview-prep/[id]/page.tsx: Interview Prep viewer
- app/settings/consent/page.tsx: Consent dashboard to manage and revoke active 'living contracts' (stub for MVP 1)

EFFORT: L (8 hours)
PROJECT AREA: Frontend
DEPENDENCIES: JD-24

TESTING CRITERIA:
- All routes render without runtime errors
- /onboarding flow transitions ProfileForm → CVUploadPanel → / on completion
- /jobs/[id] Generate buttons render disabled with tooltip in MVP 1

EDGE CASES:
- /admin visible only in developer mode (feature_admin_panel flag = true)","frontend,nextjs,pages",JD-E4,
JD-25,JobCard component,Task,"Create frontend/components/JobCard.tsx displaying job details with Save toggle and job detail navigation.

IMPLEMENTATION DETAILS:
- Props: job: Job (from types/job.ts)
- Display: title (h3 linking to /jobs/{id} on click), company, location, source badge, salary_min/max, scraped_at
- Save toggle button: local state initialised from job.saved; on toggle calls POST /api/v1/jobs/{id}/save or DELETE
- On card title click: router.push('/jobs/' + job.id)
- Use MUI Card as container with hover elevation; apply Tailwind for spacing

EFFORT: M (3 hours)
PROJECT AREA: Frontend
DEPENDENCIES: JD-24

TESTING CRITERIA:
- Renders all required fields
- Save toggle updates immediately (optimistic) then confirms from server

EDGE CASES:
- Long titles truncated at 2 lines with ellipsis (CSS line-clamp)","frontend,components",JD-E4,
