Issue id,Summary,Issue Type,Description,Labels,Parent
JD-E6,E6 — Prompts Directory & Versioning Framework,Epic,"Establish the prompts/ directory as a first-class versioned artefact in the monorepo. Define the XML prompt structure standard, reasoning effort matrix, and CONTRACT.md template. Implement prompt sets for LinkedIn and JobServe agents including prompt-based relevance pre-filtering.

SCOPE:
- prompts/ root scaffold with AGENT.md covering XML structure standard and reasoning effort matrix
- LinkedIn agent prompts: CONTRACT.md, CHANGELOG.md, system.md, skills.md, tools.md, guardrails.md
- JobServe agent prompts: same six-file structure with jobserve-specific selectors and guardrails
- CONTRACT.md template: model pin, reasoning effort, max tokens, temperature, permitted tools, token budget, eval set ref
- Prompt-based relevance pre-filtering integrated into scraper agents before pgvector ranking

MILESTONE: MVP 1.1 — Advanced Prompt Engineering Infrastructure","prompts,llm,versioning,mvp1-1",
JD-6-1,Prompts Root Scaffold,Story,"Create the prompts/ directory and prompts/AGENT.md establishing the prompt engineering standards for the project.

IMPLEMENTATION DETAILS:
- Create prompts/ directory at monorepo root
- prompts/AGENT.md content:
  - ## XML Prompt Structure Standard: all prompts must use <system>, <context>, <instructions>, <output_format>, <guardrails> XML tags
  - ## Reasoning Effort Matrix: table mapping task complexity to reasoning effort level (low/medium/high/xhigh) with examples
  - ## Versioning Rules: prompts versioned as MAJOR.MINOR.PATCH in CONTRACT.md CHANGELOG; breaking changes increment MAJOR
  - ## Directory Convention: one subdirectory per agent (e.g. prompts/linkedin-agent/); six mandatory files per agent
  - ## Eval Set Reference: CONTRACT.md must reference the eval set used to validate the prompt version
- Add prompts/ to root AGENT.md index

EFFORT: S (2 hours)
PROJECT AREA: Prompts
DEPENDENCIES: JD-1-1

TESTING CRITERIA:
- prompts/ directory exists at monorepo root
- prompts/AGENT.md contains all four sections: XML standard, reasoning effort matrix, versioning rules, directory convention
- Root AGENT.md index updated to include prompts/ entry
- Reasoning effort matrix table renders correctly in markdown

EDGE CASES:
- AGENT.md must be written to be consumed by AI agents as context; avoid ambiguous phrasing
- XML tag names must be consistent across all agent prompt files; document canonical tag set","prompts,documentation,standards,mvp1-1",JD-E6
JD-6-2,LinkedIn Agent Prompts,Story,"Create the six-file prompt set for the LinkedIn scraper agent under prompts/linkedin-agent/.

IMPLEMENTATION DETAILS:
- prompts/linkedin-agent/CONTRACT.md:
  - model: claude-sonnet-4-20250514 (pinned)
  - reasoning_effort: medium
  - max_tokens: 1000
  - temperature: 0.1
  - permitted_tools: [web_search] (stub; LinkedIn agent uses Playwright not LLM tools in MVP 1)
  - token_budget: 800 input / 200 output
  - eval_set_ref: evals/linkedin-agent/v1.0.0/
  - version: 1.0.0
- prompts/linkedin-agent/CHANGELOG.md: initial 1.0.0 entry with date and summary
- prompts/linkedin-agent/system.md: agent identity, role as LinkedIn job data extractor, output expectations
- prompts/linkedin-agent/skills.md: extraction skills (title parsing, company normalisation, salary extraction)
- prompts/linkedin-agent/tools.md: tool usage instructions (stub for MVP 1; Playwright handles extraction)
- prompts/linkedin-agent/guardrails.md: must not hallucinate fields; must return null for missing data; must not follow redirects to external sites

EFFORT: M (4 hours)
PROJECT AREA: Prompts
DEPENDENCIES: JD-6-1, JD-3-3

TESTING CRITERIA:
- All six files exist under prompts/linkedin-agent/
- CONTRACT.md contains all required fields: model, reasoning_effort, max_tokens, temperature, permitted_tools, token_budget, eval_set_ref, version
- system.md uses correct XML tag structure per prompts/AGENT.md standard
- guardrails.md explicitly prohibits hallucination and missing-field invention

EDGE CASES:
- Model pin must be updated in CONTRACT.md whenever model is upgraded; CHANGELOG.md entry required
- temperature: 0.1 chosen for extraction tasks; document rationale in CONTRACT.md","prompts,linkedin,llm,mvp1-1",JD-E6
JD-6-3,JobServe Agent Prompts,Story,"Create the six-file prompt set for the JobServe scraper agent under prompts/jobserve-agent/.

IMPLEMENTATION DETAILS:
- prompts/jobserve-agent/CONTRACT.md:
  - model: claude-sonnet-4-20250514 (pinned)
  - reasoning_effort: medium
  - max_tokens: 1000
  - temperature: 0.1
  - permitted_tools: [] (JobServe agent uses Playwright; no LLM tool calls in MVP 1)
  - token_budget: 800 input / 200 output
  - eval_set_ref: evals/jobserve-agent/v1.0.0/
  - version: 1.0.0
- prompts/jobserve-agent/CHANGELOG.md: initial 1.0.0 entry
- prompts/jobserve-agent/system.md: agent identity as JobServe data extractor; jobserve-specific CSS selectors documented as context
- prompts/jobserve-agent/skills.md: salary string parsing (e.g. '£50,000 - £60,000'), pagination handling, data normalisation to Job schema
- prompts/jobserve-agent/tools.md: stub with note that Playwright handles DOM extraction in MVP 1
- prompts/jobserve-agent/guardrails.md: must not infer salary where not present; must normalise location strings; must not submit duplicate URLs

EFFORT: M (4 hours)
PROJECT AREA: Prompts
DEPENDENCIES: JD-6-1, JD-3-4

TESTING CRITERIA:
- All six files exist under prompts/jobserve-agent/
- CONTRACT.md fields complete and consistent with linkedin-agent CONTRACT.md structure
- system.md references jobserve-specific selectors and pagination behaviour
- guardrails.md includes salary inference prohibition and deduplication rule

EDGE CASES:
- JobServe page structure may change; note in system.md that selectors require periodic review
- Salary parsing edge cases (day rate vs annual) must be documented in skills.md","prompts,jobserve,llm,mvp1-1",JD-E6
JD-6-4,CONTRACT.md Template,Story,"Create a reusable CONTRACT.md template file that all agent prompt directories must follow.

IMPLEMENTATION DETAILS:
- Create prompts/CONTRACT-TEMPLATE.md with all required fields and inline documentation comments:
  - model: <pinned model string> # Never use 'latest'; always pin to exact version
  - reasoning_effort: <low|medium|high|xhigh> # See reasoning effort matrix in prompts/AGENT.md
  - max_tokens: <int> # Set per agent based on expected output size
  - temperature: <float 0.0-1.0> # 0.1 for extraction; 0.7 for generation tasks
  - permitted_tools: [<tool names>] # Empty list if agent uses no LLM tool calls
  - token_budget: <input int> input / <output int> output # Used for cost governance in MVP 2
  - eval_set_ref: evals/<agent-name>/v<version>/ # Path to eval fixtures for this prompt version
  - version: <MAJOR.MINOR.PATCH> # Increment on every prompt change; document in CHANGELOG.md
- Add reference to CONTRACT-TEMPLATE.md in prompts/AGENT.md under ## Directory Convention

EFFORT: S (2 hours)
PROJECT AREA: Prompts
DEPENDENCIES: JD-6-1

TESTING CRITERIA:
- prompts/CONTRACT-TEMPLATE.md exists with all 8 required fields
- Each field has an inline comment explaining its purpose and valid values
- prompts/AGENT.md references CONTRACT-TEMPLATE.md
- Existing linkedin-agent and jobserve-agent CONTRACT.md files conform to template

EDGE CASES:
- Template must explicitly state that omitting any field is a CI violation (enforced in Epic 7 eval runner)","prompts,template,standards,mvp1-1",JD-E6
JD-6-5,Prompt-Based Relevance Pre-Filtering,Story,"Integrate a prompt-based relevance pre-filter into the scraper agents to score and filter job listings before they are stored.

IMPLEMENTATION DETAILS:
- Create backend/agents/relevance_filter.py:
  - async def score_relevance(job: Job, keywords: list[str], settings: Settings) -> float
  - Constructs a short prompt using prompts/linkedin-agent/system.md conventions
  - Sends job title + description + keyword list to LLM (claude-sonnet-4-20250514)
  - Parses float score 0.0–1.0 from LLM response
  - Returns score; caller sets job.relevance_score
- Integrate into LinkedInAgent.run() and JobServeAgent.run() after extraction, before add_jobs()
- Threshold: jobs with relevance_score < 0.3 logged and skipped (not stored)
- Threshold configurable via settings.RELEVANCE_THRESHOLD (default 0.3)
- Fallback: if LLM call fails, set relevance_score = 0.5 and store job (fail open)

EFFORT: M (5 hours)
PROJECT AREA: Backend + Prompts
DEPENDENCIES: JD-6-2, JD-6-3, JD-3-3, JD-3-4, JD-2-2

TESTING CRITERIA:
- Jobs with relevance_score below threshold not added to jobs_store
- Jobs with relevance_score at or above threshold stored with correct score
- LLM failure triggers fail-open: job stored with score 0.5
- RELEVANCE_THRESHOLD setting overrides default correctly
- No Pydantic validation errors on Job.relevance_score field after scoring

EDGE CASES:
- LLM may return score outside 0.0–1.0 range; clamp to valid range before assigning
- High volume scrape runs: batch LLM calls where possible to reduce latency and cost","prompts,backend,filtering,llm,mvp1-1",JD-E6
JD-E7,E7 — Eval Framework (DeepEval + Ragas),Epic,"Implement the evaluation framework for scraper and prompt quality using DeepEval and Ragas. Wire eval runs into the CI pipeline with pass/fail thresholds defined in each agent's CONTRACT.md.

SCOPE:
- backend/admin/run_evals.py: per-agent eval set execution
- DeepEval integration: faithfulness and relevance metrics with CI threshold enforcement
- GitHub Actions CI step: prompt regression check on every merge; blocks deploy if threshold drops

MILESTONE: MVP 1.1 — Advanced Prompt Engineering Infrastructure","evals,testing,cicd,python,mvp1-1",
JD-7-1,Eval Runner Script,Story,"Implement backend/admin/run_evals.py as the CLI entry point for running per-agent evaluation sets.

IMPLEMENTATION DETAILS:
- CLI: uv run python backend/admin/run_evals.py --agent <agent_name> --version <prompt_version>
- Discovers eval fixtures from path referenced in agent's CONTRACT.md eval_set_ref field
- Eval fixture format: JSONL file where each line is {input: {job: Job, keywords: list[str]}, expected_score: float, expected_fields: dict}
- For each fixture: runs relevance_filter.score_relevance() and field extraction; compares output to expected
- Aggregates: pass rate, mean relevance score, field extraction accuracy
- Outputs results to stdout as structured JSON (parseable by CI step)
- Exit code 0 if all thresholds met; exit code 1 if any threshold missed
- Create evals/ directory at monorepo root with evals/linkedin-agent/v1.0.0/ and evals/jobserve-agent/v1.0.0/ containing at least 3 fixture files each

EFFORT: M (5 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-6-5, JD-6-4

TESTING CRITERIA:
- Script runs without errors against linkedin-agent v1.0.0 eval set
- Script runs without errors against jobserve-agent v1.0.0 eval set
- Exit code 1 when pass rate below threshold
- Exit code 0 when all fixtures pass
- Output JSON parseable by jq

EDGE CASES:
- Missing eval_set_ref path: script exits with clear error message and non-zero code
- Partial fixture failures: report all failures before exiting, not just first failure","evals,backend,python,mvp1-1",JD-E7
JD-7-2,DeepEval Integration,Story,"Integrate DeepEval to measure faithfulness and relevance metrics for agent prompt outputs.

IMPLEMENTATION DETAILS:
- Add deepeval to backend/pyproject.toml dependencies
- Create backend/evals/deepeval_runner.py:
  - faithfulness_metric: LLMTestCase comparing generated job description summary against source text; threshold from CONTRACT.md
  - relevance_metric: measures cosine similarity between job fields and keyword set; threshold from CONTRACT.md
  - run_deepeval(agent_name: str, fixtures: list[EvalFixture]) -> DeepEvalResult
  - DeepEvalResult: { agent: str; faithfulness_score: float; relevance_score: float; passed: bool }
- Integrate deepeval_runner into run_evals.py: called after basic fixture pass/fail check
- Threshold values read from CONTRACT.md at runtime (parse YAML-like fields from markdown)
- Log per-metric results via get_logger(__name__)

EFFORT: L (7 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-7-1, JD-6-4

TESTING CRITERIA:
- deepeval installed and importable in backend virtual environment
- faithfulness_metric produces score between 0.0 and 1.0
- relevance_metric produces score between 0.0 and 1.0
- DeepEvalResult.passed reflects both metrics meeting their thresholds
- CONTRACT.md threshold parsing works for both linkedin-agent and jobserve-agent

EDGE CASES:
- DeepEval requires LLM API key at runtime; document in .env.example as OPENAI_API_KEY or ANTHROPIC_API_KEY
- Metric computation may be slow; add --fast flag to run_evals.py that skips DeepEval and runs fixture-only checks","evals,deepeval,backend,python,mvp1-1",JD-E7
JD-7-3,CI Prompt Regression Step,Story,"Add a prompt regression CI step to GitHub Actions that runs evals on every merge to main and blocks deployment if thresholds drop.

IMPLEMENTATION DETAILS:
- Add job prompt-regression to .github/workflows/ci.yml:
  - Trigger: on push to main only (not on PR to avoid excessive LLM API usage)
  - Steps:
    - Checkout repository
    - Set up Python with uv
    - Install backend dependencies
    - Run: uv run python backend/admin/run_evals.py --agent linkedin-agent --version 1.0.0
    - Run: uv run python backend/admin/run_evals.py --agent jobserve-agent --version 1.0.0
  - Requires secrets: ANTHROPIC_API_KEY (set in GitHub repo secrets)
  - On failure: annotate PR with which agent and metric failed
- prompt-regression job added as required status check before docker-build on main merges
- Add ## CI Eval Thresholds section to docs/EXECUTION-RULES.md documenting current passing thresholds

EFFORT: M (4 hours)
PROJECT AREA: Infrastructure
DEPENDENCIES: JD-7-2, JD-5-4

TESTING CRITERIA:
- prompt-regression job triggers on push to main
- Job fails and blocks merge if faithfulness or relevance score drops below CONTRACT.md threshold
- Job passes when all thresholds met
- ANTHROPIC_API_KEY secret used correctly and not exposed in logs
- Failure annotation appears on GitHub Actions summary page

EDGE CASES:
- LLM API rate limits during CI: add retry logic with exponential backoff in run_evals.py
- CI cost control: prompt-regression runs only on main push, not on every PR branch push","evals,cicd,github-actions,mvp1-1",JD-E7
