Issue id,Summary,Issue Type,Description,Labels,Parent
JD-E20,Application Workflow & Interview Preparation,Epic,"Implement the Application Assistant Agent and Interview Preparation Intelligence Agent. These were optional post-MVP 3 but are now scheduled for MVP 4. Includes backend agents, API endpoints, and frontend integration.

SCOPE: MVP 4
PROJECT AREA: Backend / AI / Frontend
FILES: backend/agents/application_assistant/, backend/agents/interview_prep/, frontend/app/jobs/[id]/page.tsx, frontend/app/interview-prep/[id]/page.tsx, frontend/app/applications/[id]/page.tsx
STORIES: 89.1 - 142.1","mvp4,ai,application,interview",
JD-89,Application Assistant Docs,Task,"Create backend/agents/application_assistant/AGENT.md and associated prompts/application_assistant/ structure.

IMPLEMENTATION DETAILS:
- Define agent responsibilities for autonomous job application workflows
- Create CONTRACT.md, CHANGELOG.md, system.md, skills.md, tools.md, and guardrails.md
- Ensure adherence to AI PROMPT ENGINEERING STANDARDS

EFFORT: M (4 hours)
PROJECT AREA: Documentation / AI
DEPENDENCIES: None

TESTING CRITERIA:
- Files exist and follow required templates
- Reference in root AGENT.md","documentation,ai,application",JD-E20
JD-90,Interview Prep Agent Docs,Task,"Create backend/agents/interview_prep/AGENT.md and associated prompts/interview_prep/ structure.

IMPLEMENTATION DETAILS:
- Define agent responsibilities for fetching company research and generating prep materials
- Create CONTRACT.md, CHANGELOG.md, system.md, skills.md, tools.md, and guardrails.md
- Document workflow rules

EFFORT: M (4 hours)
PROJECT AREA: Documentation / AI
DEPENDENCIES: None

TESTING CRITERIA:
- Files exist and follow required templates
- Reference in root AGENT.md","documentation,ai,interview",JD-E20
JD-91,Build Application Assistant Agent,Task,"Implement the Autonomous Job Application Assistant Agent in Python.

IMPLEMENTATION DETAILS:
- Create backend/agents/application_assistant/application_agent.py
- Implement execution logic, ReAct loop, and tool usage
- Integrate with API routes and DLQ routing

EFFORT: L (8 hours)
PROJECT AREA: Backend / AI
DEPENDENCIES: JD-89

TESTING CRITERIA:
- Agent runs successfully in tests
- Correctly implements documented skills and guardrails","backend,ai,application",JD-E20
JD-92,Build Interview Prep Agent,Task,"Implement the Interview Preparation Intelligence Agent.

IMPLEMENTATION DETAILS:
- Create backend/agents/interview_prep/interview_agent.py
- Integrate web search tools for company research
- Implement execution logic and RAG-based answer generation for common interview questions

EFFORT: L (8 hours)
PROJECT AREA: Backend / AI
DEPENDENCIES: JD-90

TESTING CRITERIA:
- Agent generates interview packs
- Correctly retrieves and uses company intelligence","backend,ai,interview",JD-E20
JD-93,Enable Interview Prep Button,Task,"Finalize the frontend logic for the Interview Prep feature on the Job Detail page.

IMPLEMENTATION DETAILS:
- Update frontend/app/jobs/[id]/page.tsx to fully integrate with the POST /api/v1/interview-prep/{job_id} endpoint
- Handle feature flag feature_interview_prep evaluation to enable the feature
- Handle 503 states and local session blocking gracefully

EFFORT: S (2 hours)
PROJECT AREA: Frontend
DEPENDENCIES: JD-92

TESTING CRITERIA:
- Button is enabled when feature flag is true
- Clicking triggers the agent process correctly
- 503 errors disable button for the session","frontend,react",JD-E20
JD-141,Create Interview Prep Viewer UI,Task,"Implement the frontend view for interview intelligence packages.

IMPLEMENTATION DETAILS:
- Create frontend/app/interview-prep/[id]/page.tsx
- Render generated interview intelligence
- Implement export and back navigation
- Implement export fallback handling matching Cover Letter Viewer

EFFORT: M (4 hours)
PROJECT AREA: Frontend / UI
DEPENDENCIES: JD-92

TESTING CRITERIA:
- Page loads with intelligence data
- Export functionality works
- Fallback export is graceful","frontend,react,interview",JD-E20
JD-142,Application Assistant UI Integration,Task,"Implement the frontend presentation for compound application packages.

IMPLEMENTATION DETAILS:
- Update frontend/app/applications/[id]/page.tsx to display synthesised data from Application Assistant (cover letter + interview prep + company research)
- Present status transitions and application notes
- Trigger UI elements conditionally

EFFORT: M (4 hours)
PROJECT AREA: Frontend / UI
DEPENDENCIES: JD-91

TESTING CRITERIA:
- Application package is fully displayed
- Status transitions function correctly
- Fallback handling is present","frontend,react,application",JD-E20
JD-143,Eval Sets for MVP 4 Agents,Task,"Create DeepEval+Ragas eval sets for Application Assistant and Interview Prep agents.

IMPLEMENTATION DETAILS:
- Create evals/application_assistant/eval-set-v1.json and evals/interview_prep/eval-set-v1.json
- Ensure CONTRACT.md points to these eval sets
- Add cases to CI checks

EFFORT: M (4 hours)
PROJECT AREA: Backend / AI
DEPENDENCIES: JD-89, JD-90

TESTING CRITERIA:
- Evals run successfully via run_evals.py","backend,ai,eval",JD-E20
JD-144,Wire MVP 4 Patterns,Task,"Implement cross-cutting patterns: Dedicated Presenter, Interview Prep research wiring, and question bank routing.

IMPLEMENTATION DETAILS:
- Ensure Application Assistant acts as Dedicated Presenter (JD-115)
- Wire Interview Prep research to Presenter (JD-117)
- Connect Interview Prep question bank to Q&A agent (JD-119)

EFFORT: M (4 hours)
PROJECT AREA: Backend / AI
DEPENDENCIES: JD-91, JD-92

TESTING CRITERIA:
- Presenter successfully synthesises compound package
- Research and question bank data flow seamlessly to downstream agents","backend,ai,workflow",JD-E20
